Expiry,Days_left,Building,Unit_type,Sqft,Current_rent,Market_rent,Vs_market_pct,Tenant,Last_action
2026-08-24,0,Sidra 3,4 bed rooms+hall,4889.0,460000.0,463753.35,-1.0,Authority,Renew
2026-08-24,0,Sidra 2,3 bed rooms+hall,4720.0,420000.0,375000.0,12.0,Person,Renew
2026-08-24,0,Sidra 2,3 bed rooms+hall,4419.0,400000.0,375000.0,7.0,Person,New
2026-08-24,0,Sidra 3,4 bed rooms+hall,4650.0,390000.0,463753.35,-16.0,Authority,New
2026-08-24,0,MAPLE,5 bed rooms+hall,3146.0,330000.0,320000.0,3.0,Authority,New
2026-08-24,0,Sidra 2,3 bed rooms+hall,4352.0,330000.0,375000.0,-12.0,Authority,New
2026-08-24,0,MAPLE,5 bed rooms+hall,3185.0,325000.0,320000.0,2.0,Person,Renew
2026-08-24,0,MAPLE,5 bed rooms+hall,3028.0,320000.0,320000.0,0.0,Person,New
2026-08-24,0,MAPLE 2,4 bed rooms+hall,2904.0,275000.0,275000.0,0.0,Person,New
2026-08-24,0,ACACIA AT PARK HEIGHTS,3 bed rooms+hall,1376.0,270000.0,285000.0,-5.0,Authority,New
2026-08-24,0,MAPLE,3 bed rooms+hall,2096.0,230000.0,247000.0,-7.0,Person,New
2026-08-24,0,Golf Suites - Dubai Hills,2 bed rooms+hall,1199.0,224000.0,170000.0,32.0,Authority,Renew
2026-08-24,0,MAG EYE Phase 1,3 bed rooms+hall,1460.0,200000.0,195000.0,3.0,Authority,New
2026-08-24,0,PARK RIDGE,2 bed rooms+hall,1002.0,200000.0,160000.0,25.0,Person,New
2026-08-24,0,MULBERRY at PARK HEIGHTS,2 bed rooms+hall,1361.0,190000.0,190000.0,0.0,Authority,New
2026-08-24,0,MAG EYE Phase 1,2 bed rooms+hall,1411.0,170000.0,160000.0,6.0,Authority,New
2026-08-24,0,Collective 2.0,2 bed rooms+hall,725.0,150000.0,120000.0,25.0,Person,New
2026-08-24,0,PARK HEIGHTS II,2 bed rooms+hall,957.0,148000.0,135000.0,10.0,Person,Renew
2026-08-24,0,ACACIA AT PARK HEIGHTS,1bed room+Hall,720.0,145000.0,122500.0,18.0,Authority,Renew
2026-08-24,0,MAG EYE Phase 1,2 bed rooms+hall,1187.0,135000.0,160000.0,-16.0,Person,Renew
2026-08-24,0,Dubai Hills Estate,1bed room+Hall,865.0,135000.0,,,Person,New
2026-08-24,0,Golf ville,2 bed rooms+hall,748.0,130000.0,110000.0,18.0,Authority,New
2026-08-24,0,ACACIA AT PARK HEIGHTS,1bed room+Hall,947.0,125000.0,122500.0,2.0,Person,New
2026-08-24,0,MULBERRY at PARK HEIGHTS,1bed room+Hall,915.0,125000.0,123500.0,1.0,Authority,New
2026-08-24,0,ACACIA AT PARK HEIGHTS,1bed room+Hall,720.0,120000.0,122500.0,-2.0,Authority,Renew
2026-08-24,0,Golf Suites - Dubai Hills,1bed room+Hall,721.0,117500.0,105000.0,12.0,Person,New
2026-08-24,0,Socio,2 bed rooms+hall,743.0,107000.0,125000.0,-14.0,Person,New
2026-08-24,0,Park Heights I,1bed room+Hall,646.0,100000.0,90000.0,11.0,Person,New
2026-08-24,0,PARK HEIGHTS II,1bed room+Hall,645.0,95000.0,90000.0,6.0,Authority,New
2026-08-24,0,Park Heights I,1bed room+Hall,646.0,85000.0,90000.0,-6.0,Person,Renew
